id,tipo,titulo,descricao,autor,data,duracao,origem,rito,grau,ordem,tags,url,youtube_id,thumbnail,transcricao_status,acesso,perguntas_aprofundamento,publicado_por,publicado_em,anexos
video-kftUaXWfcCA,video,obre a Quinta Instrução,,Mardônio Júnior Matos Duarte,2025-08-13,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=kftUaXWfcCA,kftUaXWfcCA,https://img.youtube.com/vi/kftUaXWfcCA/hqdefault.jpg,pendente,,,,,
video--SpDY3vtdLc,video,Maçom,,Aldino Brasil de Souza,2025-08-20,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=-SpDY3vtdLc,-SpDY3vtdLc,https://img.youtube.com/vi/-SpDY3vtdLc/hqdefault.jpg,pendente,,,,,
video-XMDZyTIu8es,video,O Quarto de Hora de Instrução no Rito Adonhiramita,,Sérgio Emilião,2025-09-03,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=XMDZyTIu8es,XMDZyTIu8es,https://img.youtube.com/vi/XMDZyTIu8es/hqdefault.jpg,pendente,,,,,
video-bgxAskNQeLM,video,Pense com Clareza e Aja com Foco,,Aureo Zanotta Villagra,2025-09-10,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=bgxAskNQeLM,bgxAskNQeLM,https://img.youtube.com/vi/bgxAskNQeLM/hqdefault.jpg,pendente,,,,,
video-KaAH3S-8Zw8,video,As Evoluções Ritualísticas do Rito Moderno ou Francês nos Séculos XVIII e XIX,,Gustavo Vernaschi Patuto,2025-09-17,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=KaAH3S-8Zw8,KaAH3S-8Zw8,https://img.youtube.com/vi/KaAH3S-8Zw8/hqdefault.jpg,pendente,,,,,
video-5TvqGNFGMyM,video,"Além do Simbolismo da Maçonaria no Brasil: alguns graus, ordens e ritos",,Rubens Caldeira Monteiro,2025-09-24,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=5TvqGNFGMyM,5TvqGNFGMyM,https://img.youtube.com/vi/5TvqGNFGMyM/hqdefault.jpg,pendente,,,,,
video-vbA9-LtQg3s,video,Aprendizados Estoicos Maçônicos,,Roberto Zardo,2025-10-01,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=vbA9-LtQg3s,vbA9-LtQg3s,https://img.youtube.com/vi/vbA9-LtQg3s/hqdefault.jpg,pendente,,,,,
video-FsWCo-htQJk,video,Breve História do Rito Adonhiramita,,Sérgio Emilião,2025-10-08,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=FsWCo-htQJk,FsWCo-htQJk,https://img.youtube.com/vi/FsWCo-htQJk/hqdefault.jpg,pendente,,,,,
video-89JpfxGJLMs,video,ORDO AB CHAO X GESTÃO MAÇÔNICA,,Fuad Haddad,2025-10-15,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=89JpfxGJLMs,89JpfxGJLMs,https://img.youtube.com/vi/89JpfxGJLMs/hqdefault.jpg,pendente,,,,,
video-ME0Yofv2rSw,video,Algumas Considerações sobre os Landmarks de Mackey,,"Júlio Nahuz,",2025-10-22,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=ME0Yofv2rSw,ME0Yofv2rSw,https://img.youtube.com/vi/ME0Yofv2rSw/hqdefault.jpg,pendente,,,,,
video-ULXTN_Jx2Bg,video,O Padrinho (The Godfather) Fuad Haddad,,Edição Especial de Colecionador 1972-2025 53 Anos,2025-10-29,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=ULXTN_Jx2Bg,ULXTN_Jx2Bg,https://img.youtube.com/vi/ULXTN_Jx2Bg/hqdefault.jpg,pendente,,,,,
video-4JEXbRbUVKw,video,O Avental no Rito Adonhiramita,,Sérgio Emilião,2025-11-12,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=4JEXbRbUVKw,4JEXbRbUVKw,https://img.youtube.com/vi/4JEXbRbUVKw/hqdefault.jpg,pendente,,,,,
video-y2As3xXnDRo,video,As Bandeiras Históricas no Brasil,,José Airton de Carvalho,2025-11-19,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=y2As3xXnDRo,y2As3xXnDRo,https://img.youtube.com/vi/y2As3xXnDRo/hqdefault.jpg,pendente,,,,,
video-mTFV7wXuxZo,video,SINDICÂNCIA MAÇÔNICA: COMO REALIZÁ-LA,,Fuad Haddad,2025-11-26,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=mTFV7wXuxZo,mTFV7wXuxZo,https://img.youtube.com/vi/mTFV7wXuxZo/hqdefault.jpg,pendente,,,,,
video-59aqd1yuiQY,video,5ª INSTRUÇÃO DO APRENDIZ,,Manuel de Magalhães Pereira,2025-12-03,,EpaminondasOnline,,1,,,https://www.youtube.com/watch?v=59aqd1yuiQY,59aqd1yuiQY,https://img.youtube.com/vi/59aqd1yuiQY/hqdefault.jpg,pendente,,,,,
